 VARIABLES = X,Y,Z,S11,S22,S33,S12,S13,S23
 ZONE, T="  0.1000D+01" F=FEPOINT, I=   12 J=    2 ET=BRICK
   0.3350000000E+01   0.7885391880E+00  -0.1763320043E-13   0.2490301695E+02   0.2190996665E-05   0.2190996813E-05  -0.6834940561E-12  -0.2035816483E-12   0.7305943778E-13
   0.3350000000E+01   0.5010480447E-13   0.7885391880E+00   0.2490301695E+02   0.2190996584E-05   0.2190996732E-05   0.6760746099E-12   0.2100004772E-12   0.7277427554E-13
   0.3350000000E+01   0.7885391880E+00   0.7885391880E+00   0.2490301695E+02   0.2190997044E-05   0.2190997198E-05  -0.1967886338E-12   0.6699970558E-12   0.7296076455E-13
     1     2     3     4     5     6     7     8
     2     9    10     3     6    11    12     7
 VARIABLES = X,Y,Z,S11,S22,S33,S12,S13,S23
 ZONE, T="  0.1000D+02" F=FEPOINT, I=   12 J=    2 ET=BRICK
   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.4192058810E+02   0.2661056049E-05   0.2661047197E-05   0.3558822170E-10  -0.3810652510E-10  -0.5804195707E-13
   0.1750000000E+01   0.1190382086E-11  -0.1271792991E-11   0.4192058810E+02   0.2661051836E-05   0.2661051839E-05   0.3584221555E-10  -0.3784056491E-10   0.8820381860E-13
   0.1750000000E+01   0.7818906228E+00  -0.1190754614E-11   0.4192058810E+02   0.2661051871E-05   0.2661051875E-05  -0.3785526112E-10  -0.3585722100E-10   0.8845783586E-13
   0.0000000000E+00   0.7818906228E+00   0.0000000000E+00   0.4192058810E+02   0.2661056614E-05   0.2661047762E-05  -0.3812329746E-10  -0.3559543236E-10  -0.5830707289E-13
   0.0000000000E+00  -0.6455414057E-13   0.7818906228E+00   0.4192058810E+02   0.2661056489E-05   0.2661047638E-05   0.3810838639E-10   0.3559136376E-10  -0.5838513809E-13
   0.1750000000E+01   0.1207450275E-11   0.7818906228E+00   0.4192058810E+02   0.2661052102E-05   0.2661052105E-05   0.3785824050E-10   0.3586178469E-10   0.8798709003E-13
   0.1750000000E+01   0.7818906228E+00   0.7818906228E+00   0.4192058809E+02   0.2661051997E-05   0.2661052000E-05  -0.3584376639E-10   0.3783924435E-10   0.8824110716E-13
   0.0000000000E+00   0.7818906228E+00   0.7818906228E+00   0.4192058809E+02   0.2661055912E-05   0.2661047061E-05  -0.3557335616E-10   0.3810930390E-10  -0.5865025404E-13
   0.3500000000E+01   0.2385947688E-11  -0.2537844681E-11   0.4192058810E+02   0.2661047915E-05   0.2661056772E-05   0.3582182523E-10  -0.3784734178E-10   0.2148181748E-12
   0.3500000000E+01   0.7818906228E+00  -0.2387263442E-11   0.4192058810E+02   0.2661047098E-05   0.2661055955E-05  -0.3786160897E-10  -0.3585496560E-10   0.2143577663E-12
   0.3500000000E+01   0.2474342073E-11   0.7818906228E+00   0.4192058810E+02   0.2661046969E-05   0.2661055827E-05   0.3787828578E-10   0.3585946855E-10   0.2142507742E-12
   0.3500000000E+01   0.7818906228E+00   0.7818906228E+00   0.4192058809E+02   0.2661047400E-05   0.2661056257E-05  -0.3584398546E-10   0.3783322884E-10   0.2137903655E-12
     1     2     3     4     5     6     7     8
     2     9    10     3     6    11    12     7
 VARIABLES = X,Y,Z,S11,S22,S33,S12,S13,S23
 ZONE, T="  0.1050D+02" F=FEPOINT, I=   12 J=    2 ET=BRICK
   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.4089486325E+02   0.1025727553E+01   0.2694928090E-05   0.6476640740E+01   0.4633049290E-03   0.7337796269E-04
   0.1728456230E+01   0.2737499987E+00   0.1044867433E-04   0.4089471878E+02   0.1025905088E+01  -0.3895138368E-04   0.6477081417E+01   0.3224984139E-09  -0.2278014626E-08
   0.1606138321E+01   0.1046034881E+01   0.1044867438E-04   0.4089471878E+02   0.1025905088E+01  -0.3895138379E-04   0.6477081416E+01  -0.3953215344E-09   0.2266556094E-08
  -0.1223146413E+00   0.7722642518E+00   0.0000000000E+00   0.4089457348E+02   0.1026017326E+01   0.2694928776E-05   0.6477532567E+01   0.4633042104E-03   0.7338250714E-04
   0.1009849245E-13  -0.6375937198E-13   0.7818906228E+00   0.4089486325E+02   0.1025727553E+01   0.2694928560E-05   0.6476640740E+01  -0.4633049302E-03  -0.7337796300E-04
   0.1728456230E+01   0.2737499987E+00   0.7818801741E+00   0.4089471878E+02   0.1025905088E+01  -0.3895138341E-04   0.6477081416E+01  -0.3244309609E-09   0.2277783585E-08
   0.1606138321E+01   0.1046034881E+01   0.7818801741E+00   0.4089471877E+02   0.1025905088E+01  -0.3895138362E-04   0.6477081416E+01   0.3972263940E-09  -0.2266178753E-08
  -0.1223146413E+00   0.7722642518E+00   0.7818906228E+00   0.4089457347E+02   0.1026017326E+01   0.2694927826E-05   0.6477532566E+01  -0.4633042092E-03  -0.7338250706E-04
   0.3456909192E+01   0.5475206276E+00  -0.2537844681E-11   0.4089457348E+02   0.1026017326E+01   0.2694937743E-05   0.6477532568E+01  -0.4633042843E-03  -0.7338251868E-04
   0.3334594551E+01   0.1319784879E+01  -0.2387263442E-11   0.4089486325E+02   0.1025727553E+01   0.2694936953E-05   0.6476640739E+01  -0.4633050007E-03  -0.7337797389E-04
   0.3456909192E+01   0.5475206276E+00   0.7818906228E+00   0.4089457347E+02   0.1026017326E+01   0.2694936748E-05   0.6477532567E+01   0.4633042810E-03   0.7338251859E-04
   0.3334594551E+01   0.1319784879E+01   0.7818906228E+00   0.4089486324E+02   0.1025727553E+01   0.2694937330E-05   0.6476640738E+01   0.4633050039E-03   0.7337797482E-04
     1     2     3     4     5     6     7     8
     2     9    10     3     6    11    12     7
 VARIABLES = X,Y,Z,S11,S22,S33,S12,S13,S23
 ZONE, T="  0.1100D+02" F=FEPOINT, I=   12 J=    2 ET=BRICK
   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.3791786421E+02   0.4002726620E+01   0.2711342741E-05   0.1231968876E+02   0.5435247647E-03   0.1765983107E-03
   0.1664352836E+01   0.5407676379E+00   0.1272996182E-04   0.3791753201E+02   0.4003100024E+01  -0.4719112893E-04   0.1232013858E+02   0.1019293443E-08  -0.3259467794E-08
